,beta,momentum,volatility,liquidity,autocorrelation,spread
EBAY,1.1288877303545675,0.08397234158434053,0.016373052150212054,25119452.15,-0.04637105179828272,0.01977538682129698
EA,1.1657358424117623,0.04207472449685623,0.020076078121262334,4836220.0,-0.025008191468343904,0.022619117317705606
FFIV,1.3365361791845156,0.038461542672764804,0.02066015683950334,1497940.0,0.013511868217796591,0.02270807570428901
FIS,0.9418514455661025,0.0022706248521515704,0.011315822482972603,1688305.0,-0.062246271112982816,0.014074498362053989
IT,0.9558833182998309,0.0009903780619207048,0.012663652801320903,431170.0,-0.025418943649912172,0.01570390536902533
GPN,1.0332369739252611,0.04501662428644493,0.014198342537464827,1410670.0,-0.009214533935836796,0.015673459945399704
HPE,1.6266498792462725,-0.007208912481158514,0.017294862520312537,19796757.05,0.0454936784144445,0.02343146891625475
HPQ,1.1441048380371228,-0.006232674160160934,0.0174913457494016,33997327.7,-0.005711027835780772,0.019541298187860212
INTC,1.006463066763723,0.07434837833509778,0.013313494735859717,37746700.0,-0.02491849604498192,0.01671069098474076
IBM,0.8236465545761013,0.03860581857530576,0.010650565890280652,4746261.55,0.006265352692960089,0.012625039678736294
INTU,1.0217401704278535,0.01093780856052362,0.011788606179518352,1951955.0,-0.06528011729112668,0.014229508154987802
JNPR,1.248128093347289,0.047442515692546205,0.019462175790103616,6853759.7,-0.03342157243502059,0.02100484634712041
KLAC,1.2041673580764127,0.036217610222492036,0.01606903692222659,1955100.0,-0.01123338691430152,0.017572316319974246
LRCX,1.3099375913315572,0.07718718508353595,0.017608793447147213,23499750.0,-0.011294405886468472,0.021272265203190144
MA,1.1671337743595922,0.030644774771938055,0.013282386769208902,6550900.0,-0.06383615481975566,0.016546088382970225
MCHP,1.089173038498904,0.04768893648164996,0.013640590176725101,4256130.0,-0.012050550347039954,0.01664693714632781
MU,1.8282265064391172,0.18614718157257748,0.026922526627286295,30837865.0,0.003136777030935661,0.03271350537011197
MSFT,0.9830167996450928,0.049661997131871916,0.01290072591336592,44339525.0,0.005971337836783077,0.015453652422426911
MSI,0.8795080184323261,0.05271336924552483,0.012646128689743777,2038145.0,-0.04083744010382713,0.01392456812763243
NTAP,1.1874536157485436,-0.004796570451454207,0.017787784193214407,5186920.0,-0.0118002180247543,0.01999366333401842
NFLX,1.0371784523392573,0.05613378060511853,0.029082608624955576,24596355.0,0.06604755991142917,0.030748751472846392
NVDA,1.3742262070572122,0.21793676781593807,0.019192587872608278,411766000.0,-0.017738296942462855,0.023536076382204785
ORCL,1.1029125385673608,-0.006460462972042946,0.012873261893347192,20566805.0,-0.03957718179278794,0.016089733962929564
PAYX,0.86615307245449,0.03749125412185328,0.009989080212506711,2438240.0,-0.03769941522564077,0.011966818337582286
PYPL,1.1603062295013806,0.02947316284866952,0.018444657305633834,8984455.0,0.0944765648624821,0.021257879018058645
QRVO,1.6642193596090649,0.0539676359947614,0.028478425960789876,1767855.0,0.018232214021693102,0.0339836522195458
QCOM,1.0306688005183635,0.016209706901601173,0.013712233925810217,12463920.0,-0.008496479156808625,0.015782853944575015
CRM,1.3559494530632552,0.0,0.020663226507016543,6770635.0,-0.017074054755961215,0.022957378821023222
STX,1.4017186644584296,0.017976321265011475,0.02222918064264959,6338990.0,0.04835114222503734,0.026174848075510626
SWKS,1.6217802160542074,0.04012280164013915,0.023575559721181638,3970030.0,-0.011673842698390838,0.0290628528140795
SNPS,0.8567488601961566,0.03553836123048826,0.010425616044581566,772460.0,-0.06700887580417501,0.013403353380373129
TEL,1.209400777211049,0.036349947577759556,0.013560742133920499,1849055.0,0.05148379842314144,0.01680276967312433
TXN,1.1241922040464523,0.03635862256926514,0.01368716429509553,7874580.0,-0.04737002546693419,0.016388498175733734
VRSN,0.9322950517445366,-0.019337341050267742,0.01281581063955464,1619315.0,-0.014537944005886807,0.015132327344994034
V,1.009568849153803,0.03433646639224475,0.013417698451822557,12530835.0,-0.06247203585725255,0.016808005496969813
WDC,1.3881870512346761,0.110820229837721,0.02119505172921344,4942602.45,-0.0007025201521735881,0.024920771163979505
WU,1.020736151074809,0.05508863535939956,0.013852631138718074,5728540.0,-0.030221239525831774,0.017012803822950118
XRX,1.3265296105517497,-0.06837676840801898,0.016038116475312524,4077981.8,-0.05260280243590312,0.01965348280112511
